cname,enabled,active,discourseTopics,discourseCategories,discourseTopicPosts,protocol,proposals,total_records,segment
0xgov,True,False,80,4,1525,1,29,1639,medium
0xplasma,True,False,80,4,1525,1,1,1611,medium
10b57e6da0eth,True,False,80,4,1525,1,28,1638,medium
1f51ff,True,False,80,4,1525,1,1,1611,medium
1inch,True,False,80,4,1525,1,65,1675,medium
256Dao,True,False,80,4,1525,1,2,1612,medium
aave,True,False,576,7,15298,1,1286,17168,high
aavegotchi,True,False,260,5,5884,1,538,6688,high
abachi,True,False,20,5,86,1,21,133,few
abracadabrabymerlinthemagicianeth,True,False,20,5,86,1,83,195,few
adidaseth,True,False,20,5,86,1,2,114,few
akropolis,True,False,40,8,155,1,7,211,few
alchemist,True,False,40,8,155,1,21,225,few
alchemixfinance,True,False,40,8,155,1,133,337,few
alpacafinanceeth,True,False,40,8,155,1,49,253,few
ampleforth,True,False,89,2,684,1,69,845,low
angle,True,False,172,6,661,1,5,845,low
apecoin,True,False,142,15,30733,1,322,31213,large
apwineeth,True,False,142,15,30733,1,59,30950,large
aragon,True,False,142,15,30733,1,17,30908,large
arbitrum,True,False,182,19,19700,1,386,20288,large
armorfi,False,False,35,7,176,1,7,226,few
artHaus,True,False,35,7,176,1,14,233,few
artivaDao,True,False,35,7,176,1,5,224,few
assangedaoeth,True,False,35,7,176,1,11,230,few
aurafinance,True,False,35,7,176,1,677,896,low
autonolas,True,False,35,7,176,1,53,272,few
aw3dao,True,False,35,7,176,1,17,236,few
babydogearmy,True,False,110,7,270,1,57,445,few
babylon,False,False,110,7,270,1,28,416,few
baconcoin,True,False,110,7,270,1,29,417,few
badgerdao,True,False,409,13,1720,1,117,2260,medium
balancer,True,False,329,6,3334,1,849,4519,medium
bancor,True,False,531,11,2888,1,551,3982,medium
banklessvault,True,False,47,7,6248,1,83,6386,high
barnbridgeeth,True,False,47,7,6248,1,32,6335,high
basisdollar,False,False,47,7,6248,1,33,6336,high
beanstalkbugbountyeth,True,False,47,7,6248,1,14,6317,high
beanstalkdaoeth,True,False,47,7,6248,1,32,6335,high
beanstalkfarmsbudgeteth,True,False,47,7,6248,1,36,6339,high
beanstalkfarmseth,True,False,47,7,6248,1,154,6457,high
beetseth,True,False,47,7,6248,1,160,6463,high
bestforketh,True,False,47,7,6248,1,85,6388,high
